Date,IntDate,Open,High,Low,Close,Adj Close,Volume
12/21/2009,710,45.59,47.5,45.060001,47.139999,36.751762,1906300
12/28/2009,711,47.080002,48.07,46.5,46.57,36.307381,1568800
1/4/2010,712,47.209999,49.220001,47.099998,47.799999,37.266323,3089700
1/11/2010,713,47.57,47.57,43.599998,44.139999,34.41288,5260900
1/18/2010,714,44.220001,45.25,41.639999,42.360001,33.025139,3428700
1/25/2010,715,42.75,43.360001,41.439999,42.459999,33.103104,3446000
2/1/2010,716,42.700001,47.09,42.32,43.400002,33.835964,6333000
2/8/2010,717,43.400002,44.240002,42.540001,43.5,33.913918,3676500
2/15/2010,718,43.82,45.75,43.080002,45.560001,35.519966,2243100
2/22/2010,719,45.959999,46.869999,44.509998,46.73,36.432121,2646800
3/1/2010,720,46.830002,47.75,46.580002,47.360001,36.923286,3089400
3/8/2010,721,47.459999,48.689999,47.060001,48.549999,37.851048,2741200
3/15/2010,722,48.57,49.509998,46.599998,46.810001,36.494484,3255500
3/22/2010,723,46.630001,48.880001,46.43,47.77,37.434555,2977500
3/29/2010,724,47.900002,49.900002,47.790001,48.68,38.147675,1657200
4/5/2010,725,48.759998,50.630001,47.259998,47.849998,37.497234,4458600
4/12/2010,726,47.970001,48.540001,47.34,47.790001,37.450226,3192800
4/19/2010,727,47.740002,54.150002,46.470001,53.029999,41.556515,7238500
4/26/2010,728,53.369999,53.369999,50.759998,51.07,40.020569,4849700
5/3/2010,729,51.139999,52.25,42.990002,43.5,34.088406,7899200
5/10/2010,730,46,47.98,44.93,45.66,35.781071,6458600
5/17/2010,731,45.860001,46.77,40.689999,41.619999,32.615158,7071300
5/24/2010,732,41.400002,43.639999,38.259998,42.490002,33.296928,6740900
5/31/2010,733,42,42.139999,38.360001,38.48,30.15453,4265800
6/7/2010,734,38.57,40.48,36.189999,40.040001,31.377016,6510700
6/14/2010,735,40.93,41.549999,39.220001,41,32.129303,5139600
6/21/2010,736,41.439999,41.990002,38.279999,40.09,31.606771,10273400
6/28/2010,737,39.990002,40.68,38.040001,38.700001,30.51091,5074900
7/5/2010,738,39.349998,41.830002,37.900002,41.48,32.702637,3034800
7/12/2010,739,41.389999,43.959999,40.970001,42.689999,33.656601,4004200
7/19/2010,740,42.950001,43.540001,36.119999,40.529999,31.953669,12402000
7/26/2010,741,40.34,41.049999,38.84,39.389999,31.054892,3591400
8/2/2010,742,40.049999,40.959999,39.369999,40.610001,32.016743,3944800
8/9/2010,743,40.73,42.220001,39.720001,40.259998,31.740807,4416800
8/16/2010,744,40.110001,42.209999,39.93,40.75,32.12711,3252100
8/23/2010,745,41.02,41.23,38.900002,40.080002,31.598898,3276600
